Active_Cases,Country,Last_Update,New_Cases,New_Deaths,Total_Cases,Total_Deaths,Total_Recovered
7944935131.0,World,2025-03-24 04:50:00,7010681.0,90413.0,704753890.0,675619811.0,899.4
334805269.0,USA,2025-03-24 04:50:00,1219487.0,333985.0,111820082.0,109814428.0,3642.0
1406631776.0,India,2025-03-24 04:50:00,533570.0,32016.0,45035393.0,,379.0
65584518.0,France,2025-03-24 04:50:00,167642.0,612013.0,40138560.0,39970918.0,2556.0
83883596.0,Germany,2025-03-23 20:47:00,183027.0,462891.0,38828995.0,38240600.0,2182.0
215353593.0,Brazil,2025-03-24 01:49:00,711380.0,179908.0,38743918.0,36249161.0,3303.0
51329899.0,S. Korea,2025-03-24 03:49:00,35934.0,673523.0,34571873.0,34535939.0,700.0
125584838.0,Japan,2025-03-24 04:50:00,74694.0,269169.0,33803572.0,,595.0
60262770.0,Italy,2025-03-23 20:47:00,196487.0,443445.0,26723249.0,26361218.0,3261.0
68497907.0,UK,2025-03-24 01:49:00,232112.0,363666.0,24910387.0,24678275.0,3389.0
145805947.0,Russia,2025-03-23 20:47:00,402756.0,165454.0,24124215.0,23545818.0,2762.0
85561976.0,Turkey,2025-03-23 16:46:00,102174.0,201399.0,17232066.0,,1194.0
46719142.0,Spain,2025-03-24 02:50:00,121760.0,297840.0,13914811.0,13762417.0,2606.0
26068792.0,Australia,2025-03-24 04:50:00,24414.0,454687.0,11853144.0,11820014.0,937.0
98953541.0,Vietnam,,43206.0,117481.0,11625195.0,10640971.0,437.0
23888595.0,Taiwan,,19005.0,428720.0,10241523.0,10222518.0,796.0
46010234.0,Argentina,2025-03-23 19:47:00,130841.0,220143.0,10128845.0,9997258.0,2844.0
17211447.0,Netherlands,2025-03-23 16:46:00,22992.0,501747.0,8635786.0,8612599.0,1336.0
131562772.0,Mexico,2025-03-23 11:46:00,334958.0,58549.0,7702809.0,6899865.0,2546.0
86022837.0,Iran,,146811.0,88665.0,7627186.0,,1707.0
279134505.0,Indonesia,2025-03-23 11:46:00,162063.0,24466.0,6829221.0,6647104.0,581.0
37739785.0,Poland,2025-03-24 01:49:00,120598.0,176524.0,6661991.0,,3196.0
51512762.0,Colombia,,143200.0,124244.0,6400173.0,6212152.0,2780.0
10316637.0,Greece,2025-03-24 04:50:00,37869.0,591412.0,6101379.0,,3671.0
9066710.0,Austria,,22542.0,670727.0,6081287.0,6054934.0,2486.0
10140570.0,Portugal,2025-03-23 19:47:00,28126.0,556484.0,5643062.0,5614809.0,2774.0
43192122.0,Ukraine,,112418.0,128681.0,5557995.0,5445577.0,2603.0
19250195.0,Chile,,64497.0,279730.0,5384853.0,5252450.0,3350.0
33181072.0,Malaysia,2025-03-24 04:50:00,37348.0,159079.0,5278406.0,5233268.0,1126.0
38388419.0,Canada,2025-03-24 04:50:00,59034.0,128843.0,4946090.0,4881312.0,1538.0
11668278.0,Belgium,2025-03-23 20:47:00,34376.0,416659.0,4861695.0,4826798.0,2946.0
9326000.0,Israel,2025-03-23 07:44:00,12707.0,519169.0,4841772.0,4798473.0,1363.0
